Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
27;infrastructure;aylly's ip <3 ;AA:66:A5:29:A7:94;;1;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:33 2018;Mon Dec 17 22:20:49 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;;50:17:FF:56:63:E0;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:20:15 2018;Mon Dec 17 22:20:15 2018;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;FU_Services;02:90:4C:0C:C3:B8;;4;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Dec 17 22:20:11 2018;Mon Dec 17 22:20:11 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;Ares;90:06:28:BA:33:7B;;6;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:20:15 2018;Mon Dec 17 22:20:15 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;;88:D5:0C:C0:60:0D;;9;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:17:47 2018;Mon Dec 17 22:18:34 2018;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;;E8:ED:F3:EA:44:FF;;9;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:15:26 2018;Mon Dec 17 22:16:11 2018;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;;1C:E6:C7:DC:58:60;;9;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:06:23 2018;Mon Dec 17 22:06:23 2018;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;;1C:E6:C7:DC:5D:70;;9;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:06:30 2018;Mon Dec 17 22:06:30 2018;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;;26:DB:56:12:87:2E;;9;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:12:44 2018;Mon Dec 17 22:12:44 2018;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;;58:6D:8F:97:75:22;;9;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Dec 17 22:19:44 2018;Mon Dec 17 22:19:45 2018;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;FUG_Staffs;00:27:E3:4D:BB:B3;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Dec 17 22:20:30 2018;Mon Dec 17 22:20:30 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;FPT_University;00:27:E3:4D:BB:B0;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:30 2018;Mon Dec 17 22:20:30 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;LeNa;C4:E9:84:36:C2:6B;;4;No;WPA2,AES-CCM,TKIP;No;54.0;0;1258;0;1046;0;0;1046;;;Mon Dec 17 22:05:44 2018;Mon Dec 17 22:20:56 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.1.101;
40;infrastructure;Test;06:18:0A:34:51:5E;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;9;0;0;0;0;0;;;Mon Dec 17 22:05:42 2018;Mon Dec 17 22:20:52 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;;00:00:00:00:00:00;;2;No;OPN,None;No;-1.0;0;0;0;1;0;0;1;;;Mon Dec 17 22:19:54 2018;Mon Dec 17 22:20:52 2018;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;Wifi phong 006 ;00:1D:AA:80:08:54;;8;No;WPA2,AES-CCM,TKIP;No;54.0;0;1775;0;2501;0;0;2501;;;Mon Dec 17 22:05:44 2018;Mon Dec 17 22:23:54 2018;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;Connectify-me;82:00:0B:80:25:55;;9;No;WPA2,AES-CCM;No;54.0;0;508;0;0;0;0;0;;;Mon Dec 17 22:20:38 2018;Mon Dec 17 22:23:52 2018;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;Dinhmh;00:18:01:A7:F5:92;;9;No;WEP;No;54.0;0;4034;0;16360;0;0;16360;;;Mon Dec 17 22:05:42 2018;Mon Dec 17 22:24:03 2018;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
